Scheme Code;Scheme Name;Net Asset Value;Repurchase Price;Sale Price;Date

Open Ended Schemes ( Income )


DBS Chola Mutual Fund
100576;DBS Chola Freedom Income -Short Term Fund-Cum- Institutional Plan;14.6628;14.6628;14.6628;01-Jan-2010
100576;DBS Chola Freedom Income -Short Term Fund-Cum- Institutional Plan;14.6683;14.6683;14.6683;04-Jan-2010
100576;DBS Chola Freedom Income -Short Term Fund-Cum- Institutional Plan;14.6703;14.6703;14.6703;05-Jan-2010
100576;DBS Chola Freedom Income -Short Term Fund-Cum- Institutional Plan;14.6723;14.6723;14.6723;06-Jan-2010
100576;DBS Chola Freedom Income -Short Term Fund-Cum- Institutional Plan;14.6743;14.6743;14.6743;07-Jan-2010
100576;DBS Chola Freedom Income -Short Term Fund-Cum- Institutional Plan;14.6762;14.6762;14.6762;08-Jan-2010
100576;DBS Chola Freedom Income -Short Term Fund-Cum- Institutional Plan;14.6819;14.6819;14.6819;11-Jan-2010
100576;DBS Chola Freedom Income -Short Term Fund-Cum- Institutional Plan;14.6838;14.6838;14.6838;12-Jan-2010
100576;DBS Chola Freedom Income -Short Term Fund-Cum- Institutional Plan;14.6856;14.6856;14.6856;13-Jan-2010
100576;DBS Chola Freedom Income -Short Term Fund-Cum- Institutional Plan;14.6875;14.6875;14.6875;14-Jan-2010
100576;DBS Chola Freedom Income -Short Term Fund-Cum- Institutional Plan;14.6894;14.6894;14.6894;15-Jan-2010
100576;DBS Chola Freedom Income -Short Term Fund-Cum- Institutional Plan;14.6951;14.6951;14.6951;18-Jan-2010
100576;DBS Chola Freedom Income -Short Term Fund-Cum- Institutional Plan;14.6970;14.6970;14.6970;19-Jan-2010
100576;DBS Chola Freedom Income -Short Term Fund-Cum- Institutional Plan;14.6989;14.6989;14.6989;20-Jan-2010
100576;DBS Chola Freedom Income -Short Term Fund-Cum- Institutional Plan;14.7008;14.7008;14.7008;21-Jan-2010
100576;DBS Chola Freedom Income -Short Term Fund-Cum- Institutional Plan;14.7027;14.7027;14.7027;22-Jan-2010
100576;DBS Chola Freedom Income -Short Term Fund-Cum- Institutional Plan;14.7083;14.7083;14.7083;25-Jan-2010
100576;DBS Chola Freedom Income -Short Term Fund-Cum- Institutional Plan;14.7120;14.7120;14.7120;27-Jan-2010
100576;DBS Chola Freedom Income -Short Term Fund-Cum- Institutional Plan;14.7139;14.7139;14.7139;28-Jan-2010
100576;DBS Chola Freedom Income -Short Term Fund-Cum- Institutional Plan;14.7157;14.7157;14.7157;29-Jan-2010
100576;DBS Chola Freedom Income -Short Term Fund-Cum- Institutional Plan;14.7209;14.7209;14.7209;01-Feb-2010
100576;DBS Chola Freedom Income -Short Term Fund-Cum- Institutional Plan;14.7227;14.7227;14.7227;02-Feb-2010
100576;DBS Chola Freedom Income -Short Term Fund-Cum- Institutional Plan;14.7245;14.7245;14.7245;03-Feb-2010
100576;DBS Chola Freedom Income -Short Term Fund-Cum- Institutional Plan;14.7263;14.7263;14.7263;04-Feb-2010
100576;DBS Chola Freedom Income -Short Term Fund-Cum- Institutional Plan;14.7280;14.7280;14.7280;05-Feb-2010
100576;DBS Chola Freedom Income -Short Term Fund-Cum- Institutional Plan;14.7332;14.7332;14.7332;08-Feb-2010
100576;DBS Chola Freedom Income -Short Term Fund-Cum- Institutional Plan;14.7349;14.7349;14.7349;09-Feb-2010
