Scheme Code;Scheme Name;Net Asset Value;Repurchase Price;Sale Price;Date

Open Ended Schemes ( Income )


Fortis Mutual Fund
111315;Fortis Bond Fund - Institutional Plan -Annual-Dividend Option;0.0000;0.0000;0.0000;01-Jan-2010
111315;Fortis Bond Fund - Institutional Plan -Annual-Dividend Option;0.0000;0.0000;0.0000;04-Jan-2010
111315;Fortis Bond Fund - Institutional Plan -Annual-Dividend Option;0.0000;0.0000;0.0000;05-Jan-2010
111315;Fortis Bond Fund - Institutional Plan -Annual-Dividend Option;0.0000;0.0000;0.0000;06-Jan-2010
111315;Fortis Bond Fund - Institutional Plan -Annual-Dividend Option;0.0000;0.0000;0.0000;07-Jan-2010
111315;Fortis Bond Fund - Institutional Plan -Annual-Dividend Option;0.0000;0.0000;0.0000;08-Jan-2010
111315;Fortis Bond Fund - Institutional Plan -Annual-Dividend Option;0.0000;0.0000;0.0000;11-Jan-2010
111315;Fortis Bond Fund - Institutional Plan -Annual-Dividend Option;0.0000;0.0000;0.0000;12-Jan-2010
111315;Fortis Bond Fund - Institutional Plan -Annual-Dividend Option;0.0000;0.0000;0.0000;13-Jan-2010
111315;Fortis Bond Fund - Institutional Plan -Annual-Dividend Option;0.0000;0.0000;0.0000;14-Jan-2010
111315;Fortis Bond Fund - Institutional Plan -Annual-Dividend Option;0.0000;0.0000;0.0000;15-Jan-2010
111315;Fortis Bond Fund - Institutional Plan -Annual-Dividend Option;0.0000;0.0000;0.0000;18-Jan-2010
111315;Fortis Bond Fund - Institutional Plan -Annual-Dividend Option;0.0000;0.0000;0.0000;19-Jan-2010
111315;Fortis Bond Fund - Institutional Plan -Annual-Dividend Option;0.0000;0.0000;0.0000;20-Jan-2010
111315;Fortis Bond Fund - Institutional Plan -Annual-Dividend Option;0.0000;0.0000;0.0000;21-Jan-2010
111315;Fortis Bond Fund - Institutional Plan -Annual-Dividend Option;0.0000;0.0000;0.0000;22-Jan-2010
111315;Fortis Bond Fund - Institutional Plan -Annual-Dividend Option;0.0000;0.0000;0.0000;25-Jan-2010
111315;Fortis Bond Fund - Institutional Plan -Annual-Dividend Option;0.0000;0.0000;0.0000;27-Jan-2010
111315;Fortis Bond Fund - Institutional Plan -Annual-Dividend Option;0.0000;0.0000;0.0000;28-Jan-2010
111315;Fortis Bond Fund - Institutional Plan -Annual-Dividend Option;0.0000;0.0000;0.0000;29-Jan-2010
111315;Fortis Bond Fund - Institutional Plan -Annual-Dividend Option;0.0000;0.0000;0.0000;01-Feb-2010
111315;Fortis Bond Fund - Institutional Plan -Annual-Dividend Option;0.0000;0.0000;0.0000;02-Feb-2010
111315;Fortis Bond Fund - Institutional Plan -Annual-Dividend Option;0.0000;0.0000;0.0000;03-Feb-2010
111315;Fortis Bond Fund - Institutional Plan -Annual-Dividend Option;0.0000;0.0000;0.0000;04-Feb-2010
111315;Fortis Bond Fund - Institutional Plan -Annual-Dividend Option;0.0000;0.0000;0.0000;05-Feb-2010
111315;Fortis Bond Fund - Institutional Plan -Annual-Dividend Option;0.0000;0.0000;0.0000;08-Feb-2010
111315;Fortis Bond Fund - Institutional Plan -Annual-Dividend Option;0.0000;0.0000;0.0000;09-Feb-2010
111315;Fortis Bond Fund - Institutional Plan -Annual-Dividend Option;0.0000;0.0000;0.0000;10-Feb-2010
