Scheme Code;Scheme Name;Net Asset Value;Repurchase Price;Sale Price;Date

Open Ended Schemes ( Income )


IIFL Mutual Fund
122612;IIFL Dynamic Bond Fund - Regular Plan - Growth Option;10.0039;9.9539;10.0039;25-Jun-2013
122612;IIFL Dynamic Bond Fund - Regular Plan - Growth Option;9.9746;9.9247;9.9746;26-Jun-2013
122612;IIFL Dynamic Bond Fund - Regular Plan - Growth Option;9.9877;9.9378;9.9877;27-Jun-2013
122612;IIFL Dynamic Bond Fund - Regular Plan - Growth Option;10.0223;9.9722;10.0223;28-Jun-2013
122612;IIFL Dynamic Bond Fund - Regular Plan - Growth Option;9.9714;9.9215;9.9714;02-Jul-2013
122612;IIFL Dynamic Bond Fund - Regular Plan - Growth Option;10.0004;9.9504;10.0004;03-Jul-2013
122612;IIFL Dynamic Bond Fund - Regular Plan - Growth Option;10.0355;9.9853;10.0355;04-Jul-2013
122612;IIFL Dynamic Bond Fund - Regular Plan - Growth Option;10.0222;9.9721;10.0222;05-Jul-2013
122612;IIFL Dynamic Bond Fund - Regular Plan - Growth Option;9.9885;9.9386;9.9885;08-Jul-2013
122612;IIFL Dynamic Bond Fund - Regular Plan - Growth Option;10.0038;9.9538;10.0038;09-Jul-2013
122612;IIFL Dynamic Bond Fund - Regular Plan - Growth Option;10.0125;9.9624;10.0125;10-Jul-2013
122612;IIFL Dynamic Bond Fund - Regular Plan - Growth Option;10.0551;10.0048;10.0551;11-Jul-2013
122612;IIFL Dynamic Bond Fund - Regular Plan - Growth Option;10.0325;9.9823;10.0325;12-Jul-2013
122612;IIFL Dynamic Bond Fund - Regular Plan - Growth Option;10.0231;9.9730;10.0231;15-Jul-2013
122612;IIFL Dynamic Bond Fund - Regular Plan - Growth Option;9.7310;9.6823;9.7310;16-Jul-2013
122612;IIFL Dynamic Bond Fund - Regular Plan - Growth Option;9.7222;9.6736;9.7222;17-Jul-2013
122612;IIFL Dynamic Bond Fund - Regular Plan - Growth Option;9.7806;9.7317;9.7806;18-Jul-2013
122612;IIFL Dynamic Bond Fund - Regular Plan - Growth Option;9.7858;9.7369;9.7858;19-Jul-2013
122612;IIFL Dynamic Bond Fund - Regular Plan - Growth Option;9.7159;9.6673;9.7159;22-Jul-2013
122612;IIFL Dynamic Bond Fund - Regular Plan - Growth Option;9.6671;9.6188;9.6671;23-Jul-2013
122612;IIFL Dynamic Bond Fund - Regular Plan - Growth Option;9.5646;9.5168;9.5646;24-Jul-2013
122612;IIFL Dynamic Bond Fund - Regular Plan - Growth Option;9.6282;9.5801;9.6282;25-Jul-2013
122612;IIFL Dynamic Bond Fund - Regular Plan - Growth Option;9.6586;9.6103;9.6586;26-Jul-2013
122612;IIFL Dynamic Bond Fund - Regular Plan - Growth Option;9.6548;9.6065;9.6548;29-Jul-2013
122612;IIFL Dynamic Bond Fund - Regular Plan - Growth Option;9.6069;9.5589;9.6069;30-Jul-2013
122612;IIFL Dynamic Bond Fund - Regular Plan - Growth Option;9.5781;9.5302;9.5781;31-Jul-2013
122612;IIFL Dynamic Bond Fund - Regular Plan - Growth Option;9.6435;9.5953;9.6435;01-Aug-2013
122612;IIFL Dynamic Bond Fund - Regular Plan - Growth Option;9.5925;9.5445;9.5925;02-Aug-2013
122612;IIFL Dynamic Bond Fund - Regular Plan - Growth Option;9.6188;9.5707;9.6188;05-Aug-2013
