Scheme Code;Scheme Name;Net Asset Value;Repurchase Price;Sale Price;Date

Open Ended Schemes ( Income )


Mahindra Mutual Fund
140613;Mahindra Mutual Fund Alp Samay Bachat Yojana - Direct Plan  -Growth;1000.8365;1000.8365;1000.8365;16-Feb-2017
140613;Mahindra Mutual Fund Alp Samay Bachat Yojana - Direct Plan  -Growth;1000.9950;1000.9950;1000.9950;17-Feb-2017
140613;Mahindra Mutual Fund Alp Samay Bachat Yojana - Direct Plan  -Growth;1001.5816;1001.5816;1001.5816;20-Feb-2017
140613;Mahindra Mutual Fund Alp Samay Bachat Yojana - Direct Plan  -Growth;1001.9753;1001.9753;1001.9753;22-Feb-2017
140613;Mahindra Mutual Fund Alp Samay Bachat Yojana - Direct Plan  -Growth;1002.2197;1002.2197;1002.2197;23-Feb-2017
140613;Mahindra Mutual Fund Alp Samay Bachat Yojana - Direct Plan  -Growth;1003.0393;1003.0393;1003.0393;27-Feb-2017
140613;Mahindra Mutual Fund Alp Samay Bachat Yojana - Direct Plan  -Growth;1003.2951;1003.2951;1003.2951;28-Feb-2017
140613;Mahindra Mutual Fund Alp Samay Bachat Yojana - Direct Plan  -Growth;1003.4636;1003.4636;1003.4636;01-Mar-2017
140613;Mahindra Mutual Fund Alp Samay Bachat Yojana - Direct Plan  -Growth;1003.7321;1003.7321;1003.7321;02-Mar-2017
140613;Mahindra Mutual Fund Alp Samay Bachat Yojana - Direct Plan  -Growth;1003.9189;1003.9189;1003.9189;03-Mar-2017
140613;Mahindra Mutual Fund Alp Samay Bachat Yojana - Direct Plan  -Growth;1004.4707;1004.4707;1004.4707;06-Mar-2017
140613;Mahindra Mutual Fund Alp Samay Bachat Yojana - Direct Plan  -Growth;1004.6915;1004.6915;1004.6915;07-Mar-2017
140613;Mahindra Mutual Fund Alp Samay Bachat Yojana - Direct Plan  -Growth;1004.8010;1004.8010;1004.8010;08-Mar-2017
140613;Mahindra Mutual Fund Alp Samay Bachat Yojana - Direct Plan  -Growth;1004.8192;1004.8192;1004.8192;09-Mar-2017
140613;Mahindra Mutual Fund Alp Samay Bachat Yojana - Direct Plan  -Growth;1004.9412;1004.9412;1004.9412;10-Mar-2017
140613;Mahindra Mutual Fund Alp Samay Bachat Yojana - Direct Plan  -Growth;1005.7453;1005.7453;1005.7453;14-Mar-2017
140613;Mahindra Mutual Fund Alp Samay Bachat Yojana - Direct Plan  -Growth;1005.9634;1005.9634;1005.9634;15-Mar-2017
140613;Mahindra Mutual Fund Alp Samay Bachat Yojana - Direct Plan  -Growth;1006.2514;1006.2514;1006.2514;16-Mar-2017
140613;Mahindra Mutual Fund Alp Samay Bachat Yojana - Direct Plan  -Growth;1006.3955;1006.3955;1006.3955;17-Mar-2017
140613;Mahindra Mutual Fund Alp Samay Bachat Yojana - Direct Plan  -Growth;1006.8775;1006.8775;1006.8775;20-Mar-2017
140613;Mahindra Mutual Fund Alp Samay Bachat Yojana - Direct Plan  -Growth;1007.1382;1007.1382;1007.1382;21-Mar-2017
140613;Mahindra Mutual Fund Alp Samay Bachat Yojana - Direct Plan  -Growth;1007.5114;1007.5114;1007.5114;22-Mar-2017
140613;Mahindra Mutual Fund Alp Samay Bachat Yojana - Direct Plan  -Growth;1008.2011;1008.2011;1008.2011;23-Mar-2017
