Scheme Code;Scheme Name;Net Asset Value;Repurchase Price;Sale Price;Date

Open Ended Schemes ( Income )


Morgan Stanley Mutual Fund
119165;Morgan Stanley Active Bond Fund - Direct Growth Plan;11.8602;11.8602;11.8602;02-Jan-2013
119165;Morgan Stanley Active Bond Fund - Direct Growth Plan;11.8885;11.8885;11.8885;03-Jan-2013
119165;Morgan Stanley Active Bond Fund - Direct Growth Plan;11.9191;11.9191;11.9191;04-Jan-2013
119165;Morgan Stanley Active Bond Fund - Direct Growth Plan;11.9503;11.9503;11.9503;07-Jan-2013
119165;Morgan Stanley Active Bond Fund - Direct Growth Plan;11.9522;11.9522;11.9522;08-Jan-2013
119165;Morgan Stanley Active Bond Fund - Direct Growth Plan;11.9632;11.9632;11.9632;09-Jan-2013
119165;Morgan Stanley Active Bond Fund - Direct Growth Plan;11.9839;11.9839;11.9839;10-Jan-2013
119165;Morgan Stanley Active Bond Fund - Direct Growth Plan;12.0025;12.0025;12.0025;11-Jan-2013
119165;Morgan Stanley Active Bond Fund - Direct Growth Plan;12.0561;12.0561;12.0561;14-Jan-2013
119165;Morgan Stanley Active Bond Fund - Direct Growth Plan;12.0461;12.0461;12.0461;15-Jan-2013
119165;Morgan Stanley Active Bond Fund - Direct Growth Plan;12.0015;11.8815;12.0015;16-Jan-2013
119165;Morgan Stanley Active Bond Fund - Direct Growth Plan;12.0262;11.9059;12.0262;17-Jan-2013
119165;Morgan Stanley Active Bond Fund - Direct Growth Plan;12.0211;11.9009;12.0211;18-Jan-2013
119165;Morgan Stanley Active Bond Fund - Direct Growth Plan;12.0215;11.9013;12.0215;21-Jan-2013
119165;Morgan Stanley Active Bond Fund - Direct Growth Plan;12.0260;11.9057;12.0260;22-Jan-2013
119165;Morgan Stanley Active Bond Fund - Direct Growth Plan;12.0104;11.8903;12.0104;23-Jan-2013
119165;Morgan Stanley Active Bond Fund - Direct Growth Plan;12.0095;11.8894;12.0095;24-Jan-2013
119165;Morgan Stanley Active Bond Fund - Direct Growth Plan;12.0230;11.9028;12.0230;28-Jan-2013
119165;Morgan Stanley Active Bond Fund - Direct Growth Plan;12.0307;11.9104;12.0307;29-Jan-2013
119165;Morgan Stanley Active Bond Fund - Direct Growth Plan;12.0129;11.8928;12.0129;30-Jan-2013
119165;Morgan Stanley Active Bond Fund - Direct Growth Plan;12.0046;11.8846;12.0046;31-Jan-2013
119165;Morgan Stanley Active Bond Fund - Direct Growth Plan;12.0045;11.8845;12.0045;01-Feb-2013
119165;Morgan Stanley Active Bond Fund - Direct Growth Plan;11.9978;11.8778;11.9978;04-Feb-2013
119165;Morgan Stanley Active Bond Fund - Direct Growth Plan;12.0028;11.8828;12.0028;05-Feb-2013
119165;Morgan Stanley Active Bond Fund - Direct Growth Plan;12.0111;11.8910;12.0111;06-Feb-2013
119165;Morgan Stanley Active Bond Fund - Direct Growth Plan;12.0355;11.9151;12.0355;07-Feb-2013
119165;Morgan Stanley Active Bond Fund - Direct Growth Plan;12.0548;11.9343;12.0548;08-Feb-2013
119165;Morgan Stanley Active Bond Fund - Direct Growth Plan;12.0533;11.9328;12.0533;11-Feb-2013
119165;Morgan Stanley Active Bond Fund - Direct Growth Plan;12.0478;11.9273;12.0478;12-Feb-2013
119165;Morgan Stanley Active Bond Fund - Direct Growth Plan;12.0659;11.9452;12.0659;13-Feb-2013
