Scheme Code;Scheme Name;Net Asset Value;Repurchase Price;Sale Price;Date

Open Ended Schemes ( Income )


Motilal Oswal Mutual Fund
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;10.0100;10.0100;10.0100;10-Sep-2013
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;10.0125;10.0125;10.0125;11-Sep-2013
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;10.0151;10.0151;10.0151;12-Sep-2013
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;10.0179;10.0179;10.0179;13-Sep-2013
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;10.0258;10.0258;10.0258;16-Sep-2013
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;10.0292;10.0292;10.0292;17-Sep-2013
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;10.0320;10.0320;10.0320;18-Sep-2013
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;10.0350;10.0350;10.0350;19-Sep-2013
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;10.0379;10.0379;10.0379;20-Sep-2013
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;10.0463;10.0463;10.0463;23-Sep-2013
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;10.0510;10.0510;10.0510;24-Sep-2013
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;10.0539;10.0539;10.0539;25-Sep-2013
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;10.0565;10.0565;10.0565;26-Sep-2013
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;10.0592;10.0592;10.0592;27-Sep-2013
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;10.0677;10.0677;10.0677;30-Sep-2013
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;10.0704;10.0704;10.0704;01-Oct-2013
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;10.0758;10.0758;10.0758;03-Oct-2013
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;10.0787;10.0787;10.0787;04-Oct-2013
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;10.0867;10.0867;10.0867;07-Oct-2013
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;10.0905;10.0905;10.0905;08-Oct-2013
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;10.0931;10.0931;10.0931;09-Oct-2013
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;10.0957;10.0957;10.0957;10-Oct-2013
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;10.0983;10.0983;10.0983;11-Oct-2013
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;10.1066;10.1066;10.1066;14-Oct-2013
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;10.1093;10.1093;10.1093;15-Oct-2013
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;10.1144;10.1144;10.1144;17-Oct-2013
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;10.1170;10.1170;10.1170;18-Oct-2013
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;10.1243;10.1243;10.1243;21-Oct-2013
