Scheme Code;Scheme Name;Net Asset Value;Repurchase Price;Sale Price;Date

Open Ended Schemes ( Income )


Quantum Mutual Fund
134494;Quantum Dynamic Bond Fund - Direct Plan Growth Option;10.0459;10.0459;10.0459;21-May-2015
134494;Quantum Dynamic Bond Fund - Direct Plan Growth Option;10.0596;10.0596;10.0596;22-May-2015
134494;Quantum Dynamic Bond Fund - Direct Plan Growth Option;10.0656;10.0656;10.0656;25-May-2015
134494;Quantum Dynamic Bond Fund - Direct Plan Growth Option;10.0626;10.0626;10.0626;26-May-2015
134494;Quantum Dynamic Bond Fund - Direct Plan Growth Option;10.0669;10.0669;10.0669;27-May-2015
134494;Quantum Dynamic Bond Fund - Direct Plan Growth Option;10.0801;10.0801;10.0801;28-May-2015
134494;Quantum Dynamic Bond Fund - Direct Plan Growth Option;10.0967;10.0967;10.0967;29-May-2015
134494;Quantum Dynamic Bond Fund - Direct Plan Growth Option;10.0935;10.0935;10.0935;01-Jun-2015
134494;Quantum Dynamic Bond Fund - Direct Plan Growth Option;10.0341;10.0341;10.0341;02-Jun-2015
134494;Quantum Dynamic Bond Fund - Direct Plan Growth Option;10.0204;10.0204;10.0204;03-Jun-2015
134494;Quantum Dynamic Bond Fund - Direct Plan Growth Option;10.0052;10.0052;10.0052;04-Jun-2015
134494;Quantum Dynamic Bond Fund - Direct Plan Growth Option;10.0256;10.0256;10.0256;05-Jun-2015
134494;Quantum Dynamic Bond Fund - Direct Plan Growth Option;10.0243;10.0243;10.0243;08-Jun-2015
134494;Quantum Dynamic Bond Fund - Direct Plan Growth Option;10.0358;10.0358;10.0358;09-Jun-2015
134494;Quantum Dynamic Bond Fund - Direct Plan Growth Option;10.0169;10.0169;10.0169;10-Jun-2015
134494;Quantum Dynamic Bond Fund - Direct Plan Growth Option;9.9943;9.9943;9.9943;11-Jun-2015
134494;Quantum Dynamic Bond Fund - Direct Plan Growth Option;9.9892;9.9892;9.9892;12-Jun-2015
134494;Quantum Dynamic Bond Fund - Direct Plan Growth Option;10.0079;10.0079;10.0079;15-Jun-2015
134494;Quantum Dynamic Bond Fund - Direct Plan Growth Option;10.0031;10.0031;10.0031;16-Jun-2015
134494;Quantum Dynamic Bond Fund - Direct Plan Growth Option;10.0278;10.0278;10.0278;17-Jun-2015
134494;Quantum Dynamic Bond Fund - Direct Plan Growth Option;10.0718;10.0718;10.0718;18-Jun-2015
134494;Quantum Dynamic Bond Fund - Direct Plan Growth Option;10.1120;10.1120;10.1120;19-Jun-2015
134494;Quantum Dynamic Bond Fund - Direct Plan Growth Option;10.1039;10.1039;10.1039;22-Jun-2015
134494;Quantum Dynamic Bond Fund - Direct Plan Growth Option;10.1018;10.1018;10.1018;23-Jun-2015
134494;Quantum Dynamic Bond Fund - Direct Plan Growth Option;10.0603;10.0603;10.0603;24-Jun-2015
134494;Quantum Dynamic Bond Fund - Direct Plan Growth Option;10.0486;10.0486;10.0486;25-Jun-2015
134494;Quantum Dynamic Bond Fund - Direct Plan Growth Option;10.0855;10.0855;10.0855;26-Jun-2015
134494;Quantum Dynamic Bond Fund - Direct Plan Growth Option;10.0723;10.0723;10.0723;29-Jun-2015
134494;Quantum Dynamic Bond Fund - Direct Plan Growth Option;10.1069;10.1069;10.1069;30-Jun-2015
134494;Quantum Dynamic Bond Fund - Direct Plan Growth Option;10.1379;10.1379;10.1379;01-Jul-2015
