Scheme Code;Scheme Name;Net Asset Value;Repurchase Price;Sale Price;Date

Open Ended Schemes ( Income )


Shinsei Mutual Fund
112191;Shinsei Treasury Advantage Fund - Daily Dividend;1000.1084;1000.1084;1000.1084;01-Jan-2010
112191;Shinsei Treasury Advantage Fund - Daily Dividend;1000.1084;1000.1084;1000.1084;04-Jan-2010
112191;Shinsei Treasury Advantage Fund - Daily Dividend;1000.1084;1000.1084;1000.1084;05-Jan-2010
112191;Shinsei Treasury Advantage Fund - Daily Dividend;1000.1084;1000.1084;1000.1084;06-Jan-2010
112191;Shinsei Treasury Advantage Fund - Daily Dividend;1000.1084;1000.1084;1000.1084;07-Jan-2010
112191;Shinsei Treasury Advantage Fund - Daily Dividend;1000.1084;1000.1084;1000.1084;08-Jan-2010
112191;Shinsei Treasury Advantage Fund - Daily Dividend;1000.1084;1000.1084;1000.1084;11-Jan-2010
112191;Shinsei Treasury Advantage Fund - Daily Dividend;1000.1084;1000.1084;1000.1084;12-Jan-2010
112191;Shinsei Treasury Advantage Fund - Daily Dividend;1000.1084;1000.1084;1000.1084;13-Jan-2010
112191;Shinsei Treasury Advantage Fund - Daily Dividend;1000.1084;1000.1084;1000.1084;14-Jan-2010
112191;Shinsei Treasury Advantage Fund - Daily Dividend;1000.1084;1000.1084;1000.1084;15-Jan-2010
112191;Shinsei Treasury Advantage Fund - Daily Dividend;1000.1084;1000.1084;1000.1084;18-Jan-2010
112191;Shinsei Treasury Advantage Fund - Daily Dividend;1000.1084;1000.1084;1000.1084;19-Jan-2010
112191;Shinsei Treasury Advantage Fund - Daily Dividend;1000.1084;1000.1084;1000.1084;20-Jan-2010
112191;Shinsei Treasury Advantage Fund - Daily Dividend;1000.1084;1000.1084;1000.1084;21-Jan-2010
112191;Shinsei Treasury Advantage Fund - Daily Dividend;1000.1084;1000.1084;1000.1084;22-Jan-2010
112191;Shinsei Treasury Advantage Fund - Daily Dividend;1000.1084;1000.1084;1000.1084;25-Jan-2010
112191;Shinsei Treasury Advantage Fund - Daily Dividend;1000.1084;1000.1084;1000.1084;27-Jan-2010
112191;Shinsei Treasury Advantage Fund - Daily Dividend;1000.1084;1000.1084;1000.1084;28-Jan-2010
112191;Shinsei Treasury Advantage Fund - Daily Dividend;1000.1084;1000.1084;1000.1084;29-Jan-2010
112191;Shinsei Treasury Advantage Fund - Daily Dividend;1000.1084;1000.1084;1000.1084;01-Feb-2010
112191;Shinsei Treasury Advantage Fund - Daily Dividend;1000.1084;1000.1084;1000.1084;02-Feb-2010
112191;Shinsei Treasury Advantage Fund - Daily Dividend;1000.1084;1000.1084;1000.1084;03-Feb-2010
112191;Shinsei Treasury Advantage Fund - Daily Dividend;1000.1084;1000.1084;1000.1084;04-Feb-2010
112191;Shinsei Treasury Advantage Fund - Daily Dividend;1000.1084;1000.1084;1000.1084;05-Feb-2010
112191;Shinsei Treasury Advantage Fund - Daily Dividend;1000.1084;1000.1084;1000.1084;08-Feb-2010
112191;Shinsei Treasury Advantage Fund - Daily Dividend;1000.1084;1000.1084;1000.1084;09-Feb-2010
112191;Shinsei Treasury Advantage Fund - Daily Dividend;1000.1084;1000.1084;1000.1084;10-Feb-2010
112191;Shinsei Treasury Advantage Fund - Daily Dividend;1000.1084;1000.1084;1000.1084;11-Feb-2010
112191;Shinsei Treasury Advantage Fund - Daily Dividend;1000.1084;1000.1084;1000.1084;15-Feb-2010
