Scheme Code;Scheme Name;Net Asset Value;Repurchase Price;Sale Price;Date

Open Ended Schemes ( Growth )


Shriram Mutual Fund
125711;Shriram Equity and Debt Opportunities Fund;9.9943;9.8944;9.9943;06-Dec-2013
125711;Shriram Equity and Debt Opportunities Fund;10.0204;9.9202;10.0204;09-Dec-2013
125711;Shriram Equity and Debt Opportunities Fund;10.0509;9.9504;10.0509;10-Dec-2013
125711;Shriram Equity and Debt Opportunities Fund;10.0445;9.9441;10.0445;11-Dec-2013
125711;Shriram Equity and Debt Opportunities Fund;10.0075;9.9074;10.0075;12-Dec-2013
125711;Shriram Equity and Debt Opportunities Fund;9.9634;9.8638;9.9634;13-Dec-2013
125711;Shriram Equity and Debt Opportunities Fund;9.9553;9.8557;9.9553;16-Dec-2013
125711;Shriram Equity and Debt Opportunities Fund;9.9736;9.8739;9.9736;17-Dec-2013
125711;Shriram Equity and Debt Opportunities Fund;10.0358;9.9354;10.0358;18-Dec-2013
125711;Shriram Equity and Debt Opportunities Fund;10.0349;9.9346;10.0349;19-Dec-2013
125711;Shriram Equity and Debt Opportunities Fund;10.1354;10.0340;10.1354;20-Dec-2013
125711;Shriram Equity and Debt Opportunities Fund;10.1347;10.0334;10.1347;23-Dec-2013
125711;Shriram Equity and Debt Opportunities Fund;10.1411;10.0397;10.1411;24-Dec-2013
125711;Shriram Equity and Debt Opportunities Fund;10.1467;10.0452;10.1467;26-Dec-2013
125711;Shriram Equity and Debt Opportunities Fund;10.1910;10.0891;10.1910;27-Dec-2013
125711;Shriram Equity and Debt Opportunities Fund;10.1690;10.0673;10.1690;30-Dec-2013
125711;Shriram Equity and Debt Opportunities Fund;10.1785;10.0767;10.1785;31-Dec-2013
125711;Shriram Equity and Debt Opportunities Fund;10.1850;10.0832;10.1850;01-Jan-2014
125711;Shriram Equity and Debt Opportunities Fund;10.1064;10.0053;10.1064;02-Jan-2014
125711;Shriram Equity and Debt Opportunities Fund;10.1361;10.0347;10.1361;03-Jan-2014
125711;Shriram Equity and Debt Opportunities Fund;10.0421;9.9417;10.0421;04-Jan-2014
125711;Shriram Equity and Debt Opportunities Fund;10.1371;10.0357;10.1371;06-Jan-2014
125711;Shriram Equity and Debt Opportunities Fund;10.1235;10.0223;10.1235;07-Jan-2014
125711;Shriram Equity and Debt Opportunities Fund;10.1577;10.0561;10.1577;08-Jan-2014
125711;Shriram Equity and Debt Opportunities Fund;10.1594;10.0578;10.1594;09-Jan-2014
125711;Shriram Equity and Debt Opportunities Fund;10.1905;10.0886;10.1905;10-Jan-2014
125711;Shriram Equity and Debt Opportunities Fund;10.2674;10.1647;10.2674;13-Jan-2014
